DateTime,cpu %user,cpu %nice,cpu %sys,cpu %iowait,cpu %steal,%idle,Total Memory,Used Memory,Free Memory,Shared Memory,Buffers Memory,Cached Memory,Load-1Min,Load-5Min,Load-15Min,Server Status
09-04-2019 16:10,4.04,0,9.09,0,0,86.87,7823,5517,732,283,1572,1657,1.01,0.49,0.39,Warning
09-04-2019 16:15,16.41,0,12.31,0,0,71.28,7823,5581,666,283,1574,1592,0.06,0.32,0.36,Warning
09-04-2019 16:20,3.54,0,7.07,0,0,89.39,7823,5578,667,283,1576,1594,1.07,0.69,0.5,Warning
09-04-2019 16:25,16.24,0,2.54,0,0,81.22,7823,5659,584,283,1579,1514,0.63,0.65,0.55,Critical
09-04-2019 16:30,4.04,0,7.07,0,0,88.89,7823,5529,714,283,1579,1644,0.19,0.41,0.48,Warning
09-04-2019 16:35,22.11,0,7.54,0,0,70.35,7823,5400,845,283,1577,1777,0.78,0.43,0.45,Warning
09-04-2019 16:40,4.08,0,9.69,0,0,86.22,7823,5360,884,283,1578,1817,0.62,0.42,0.44,Warning
09-04-2019 16:45,5.56,0,10.1,0,0,84.34,7823,5632,607,283,1583,1542,0.56,0.44,0.43,Warning
09-04-2019 16:50,4.04,0,7.07,0,0,88.89,7823,5438,801,283,1582,1737,0.88,0.64,0.52,Warning
09-04-2019 16:55,2.03,0,7.11,0,0,90.86,7823,5529,707,283,1586,1645,1.03,0.64,0.53,Warning
09-04-2019 17:00,3.55,0,11.17,0,0,85.28,7823,5307,921,291,1593,1861,0.29,0.54,0.53,Warning
09-04-2019 17:05,3.02,0,6.53,0,0,90.45,7823,5450,771,291,1600,1717,0.14,0.46,0.52,Warning
09-04-2019 17:10,57.79,0,22.61,0,0,19.6,7823,5437,783,291,1602,1731,1.3,0.69,0.58,Warning
09-04-2019 17:15,4.57,0,7.61,0,0,87.82,7823,5464,753,291,1604,1702,0.46,0.64,0.6,Warning
09-04-2019 17:20,13.13,0,14.14,0,0,72.73,7823,5540,676,291,1605,1627,0.45,0.5,0.55,Warning
09-04-2019 17:25,31.31,0,9.09,0,0,59.6,7823,5401,815,291,1606,1767,0.27,0.43,0.52,Warning
09-04-2019 17:30,4.52,0,7.04,0,0,88.44,7823,5242,975,291,1605,1928,0.08,0.27,0.43,Warning
09-04-2019 17:35,4.04,0,9.09,0,0,86.87,7823,5529,683,291,1610,1637,0.47,0.4,0.43,Warning
09-04-2019 17:40,6.09,0,11.17,0,0,82.74,7823,5268,943,291,1610,1900,0.09,0.3,0.39,Warning
09-04-2019 17:45,3.03,0,11.11,0,0,85.86,7823,5349,860,291,1612,1819,0.46,0.38,0.4,Warning
09-04-2019 17:50,2.51,0,5.53,0,0,91.96,7823,5450,758,291,1613,1717,0.75,0.49,0.44,Warning
09-04-2019 17:55,3.54,0,7.58,0,0,88.89,7823,5267,942,291,1613,1902,0.19,0.36,0.41,Warning
09-04-2019 18:00,3.05,0,6.6,0,0,90.36,7823,5515,690,291,1616,1652,0.94,0.55,0.47,Warning
09-04-2019 18:05,27.78,0,15.15,0,0,57.07,7823,5307,900,291,1615,1863,0.04,0.35,0.42,Warning
